Theater,Year,Month,Day,Hour,Purchase Hour,Name,3D,Seat,Price,Matinee,Auditorium
Carmike Cinemas,1998,12,11,7:30PM,-,Enchanted,-,-,9,-,3
Regal Cinemas Countryside 20,1999,11,10,4:40PM,-,Pokemon,-,-,5,y,20
Regal Cinemas Countryside 20,2004,3,27,12:40PM,12:24PM,The Ladykillers,-,-,6.25,y,5
Regal Cinemas Countryside 20,2004,6,13,4:15PM,3:43PM,The Day After Tomorrow,-,-,6.25,y,16
Carmike Cinemas,2004,9,24,7:00PM,-,Sky Captain and the World of Tomorrow,-,-,7.5,-,-
Udvar-Hazy Center IMAX,2004,9,29,9:30AM,9:13AM,Magic of Flight,-,-,5.5,-,-
Carmike Cinemas,2005,6,12,7:00PM,-,Star Wars: Episode III: Revenge of the Sith,-,-,7.75,-,-
Emerald Cinemas,2005,7,12,4:00PM,-,War of the Worlds,-,-,5.5,-,10
Carmike Cinemas,2005,11,19,3:15PM,-,Zathura,-,-,5.5,y,-
Carmike Cinemas,2005,12,28,2:35PM,-,Fun with Dick and Jane,-,-,5.5,y,-
Regal Cinemas Countryside 20,2006,6,18,6:45PM,5:56PM,X-Men 3,-,-,9.75,-,18
Carmike Cinemas,2006,7,15,2:40PM,-,Pirates of the Caribbean: Dead Man's Chest,-,-,5.5,y,-
Carmike Cinemas,2006,5,20,4:00PM,3:40PM,Over the Hedge,-,-,5.5,y,-
Carmike Cinemas,2007,7,22,1:00PM,-,Evan Almighty,-,-,5.75,y,1
Regal Cinemas Countryside 20,2007,7,27,8:40PM,8:32PM,The Simpsons Movie,-,-,10,-,12
Regal Cinemas Countryside 20,2007,8,26,2:50PM,2:17PM,Mr. Bean,-,-,8,y,7
Regal Cinemas Fox Stadium 16,2008,6,17,8:00PM,7:49PM,Kung Fu Panda,-,-,10,-,8
Carmike Cinemas,2008,6,29,3:20PM,-,Wall-E,-,-,6.25,y,1
Emerald Cinemas,2008,8,13,4:35PM,-,The Mummy 3,-,-,6.5,-,10
Regal Cinemas Countryside 20,2008,8,19,3:50PM,3:37PM,Pineapple Exress,-,-,0,-,20
Carmike Cinemas,2008,8,23,4:45PM,-,Tropic Thunder,-,-,6.25,y,5
Regal Cinemas Countryside 20,2008,8,23,9:30PM,9:12PM,Death Race,-,-,0,-,4
Regal Cinemas Countryside 20,2008,9,13,3:55PM,3:41PM,Journey to the Center of the Earth,y,-,11,y,12
Carmike Cinemas,2008,12,27,4:15PM,-,Bedtime Stories,-,-,6.5,y,5
Regal Cinemas Countryside 20,2009,1,18,2:50PM,2:37PM,Paul Blart,-,-,8.5,y,7
Carmike Cinemas,2009,5,24,4:00PM,-,Terminator Salvation,-,-,6.5,y,3
Regal Cinemas Countryside 20,2009,3,6,7:00PM,5:44PM,Watchmen,-,-,10.5,-,13
Regal Cinemas Countryside 20,2009,5,31,-,6:44PM,Up,y,-,14,-,3
Regal Cinemas Countryside 20,2009,5,8,7:00PM,6:38PM,Star Trek,-,-,10.5,-,4
Regal Cinemas Countryside 20,2009,7,11,5:50PM,5:44PM,Bruno,-,-,8.5,y,14
Regal Cinemas Countryside 20,2009,8,14,7:40PM,6:46PM,District 9,-,-,10.5,-,14
Regal Cinemas Countryside 20,2009,8,28,6:40PM,6:23PM, Inglorious Bastards,-,-,10.5,-,4
Regal Cinemas Countryside 20,2009,10,3,8:50PM,8:00PM,Zombieland,-,-,10.5,-,15
Regal Cinemas Countryside 20,2009,10,16,7:20PM,6:46PM,Wild Things,-,-,10.5,-,14
Regal Cinemas Fox Stadium 16,2009,11,6,10:29PM,10:21PM,The Men Who Stare at Goats,-,-,10.5,-,16
Regal Cinemas Countryside 20,2009,11,14,7:30PM,6:42PM,2012,-,-,10.5,-,4
Regal Cinemas Fox Stadium 16,2009,1,25,7:10PM,7:19PM,The Blind Side,-,-,10.5,-,3
Regal Cinemas Countryside 20,2009,12,27,7:20PM,6:40PM,Sherlock Holmes,-,-,10.5,-,5
Regal Cinemas Countryside 20,2010,2,13,7:20PM,7:03PM,Wolfman,-,-,10.5,-,16
Regal Cinemas Countryside 20,2010,1,23,7:50PM,7:32PM,Legion,-,-,10.5,-,4
Regal Cinemas Countryside 20,2010,3,6,7:15PM,7:12PM,Shutter Island,-,-,10.5,-,4
Regal Cinemas Countryside 20,2010,3,21,7:40PM,6:54PM,Repo Men,-,-,10.5,-,5
Regal Cinemas Countryside 20,2010,4,2,8:20PM,7:49PM,Clashs of the Titans,-,-,11,-,7
Regal Cinemas Countryside 20,2010,4,17,7:20PM,7:18PM,Kick Ass,-,-,11,-,13
Regal Cinemas Countryside 20,2010,5,8,8:05PM,6:51PM,Iron Man 2,-,-,11,-,6
Regal Cinemas Countryside 20,2010,6,22,6:10PM,5:00PM,Toy Story,-,-,11,-,13
Carmike Cinemas,2010,7,11,2:10PM,-,Despicable Me,-,-,7,y,4
Regal Cinemas Countryside 20,2010,7,18,7:35PM,7:03PM,Inception,-,-,11,-,5
Regal Cinemas Countryside 20,2010,7,25,8:10PM,7:35PM,Salt,-,-,11,-,7
Regal Cinemas Countryside 20,2010,8,7,8:50PM,8:42PM,The Other Guys,-,-,11,-,7
Regal Cinemas Countryside 20,2010,8,14,7:15PM,7:02PM,Scott Pilgrim vs. the World,-,-,11,-,1
Regal Cinemas Fox Stadium 16,2010,9,17,2:40PM,1:49PM,Easy A,-,-,9,y,8
Regal Cinemas Fox Stadium 16,2010,10,10,5:00PM,5:04PM,It's Kind of a Funny Story,-,-,9,y,11
Regal Cinemas Countryside 20,2010,10,3,6:40PM,6:20PM,Social Network,-,-,11,-,13
Regal Cinemas Countryside 20,2010,10,23,6:35PM,6:11PM,Jackass 3,-,-,11,-,11
Regal Cinemas Countryside 20,2010,11,6,7:25PM,7:10PM,Due Date,-,-,11,-,5
